Day Order,Prediction Value
Day1,14.37383738
Day2,14.37383738
Day3,14.23368015
Day4,13.90740957
Day5,14.09371519
Day6,14.09371519
Day7,13.81439617
Day8,13.90740957
Day9,13.90740957
Day10,13.76792553
