Day Order,Prediction Value
Day1,1473.2277999078822
Day2,1514.8582875651316
Day3,1508.3364635406642
Day4,1462.3167285256147
Day5,1420.9875578882895
Day6,1420.9875578882895
Day7,1451.9348557913227
Day8,1432.2370080434964
Day9,1452.22738199678
Day10,1479.8988273313523
