Day Order,Prediction Value
Day1,1559.101009
Day2,1557.902349
Day3,1559.515885
Day4,1564.953616
Day5,1556.611253
Day6,1556.611253
Day7,1555.596639
Day8,1537.990021
Day9,1570.481352
Day10,1512.95285
