Day Order,Prediction Value
Day1,607.2272393348121
Day2,607.1691039919666
Day3,610.8253067651927
Day4,605.94404341465
Day5,605.0051934563899
Day6,605.0051934563899
Day7,575.4033083309473
Day8,558.223685215319
Day9,570.4372102328625
Day10,577.6380289351146
