Day Order,Prediction Value
Day1,2643.1951794541988 
Day2,2661.5220059450594 
Day3,2682.079981307981 
Day4,2617.0059010727487
Day5,2552.185204854618
Day6,2552.185204854618
Day7,2559.7576905887254
Day8,2561.5865235843444
Day9,2546.749976862453 
Day10,2548.7640482285506
